Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
US,US-VA,VA-2,1470900,1303400,106644000,2549375,9727200,33601000,9726500,436905000,5643400,6207900,13683750,1140550,2258600
US,US-VA,VA-3,569700,506100,41284250,989875,3779500,13043000,3777000,170452500,2192400,2417925,5318250,442050,875800
US,US-VA,VA-4,900500,799300,65239750,1563275,5966500,20603000,5965000,268552500,3461000,3814350,8406000,699250,1386000
US,US-VA,VA-5,697300,617300,50646000,1207400,4609500,15934000,4606500,207202500,2676100,2941125,6475500,541200,1070600
US,US-VA,VA-6,617300,548350,44849750,1072500,4099400,14169000,4092000,185617500,2382000,2625525,5764500,479950,951200
US,US-VA,VA-7,889000,784150,64518250,1533675,5847300,20233000,5851000,261637500,3393000,3724575,8225250,688550,1364000
US,US-VA,VA-8,1534100,1364600,111241000,2668950,10192900,35206000,10184000,459540000,5917200,6520200,14355750,1192500,2365600
US,US-VA,VA-9,469500,417150,34020500,815900,3116300,10760000,3113000,140805000,1809000,1995375,4386000,364600,722400
US,US-VT,VT-AT LARGE,616600,549850,44636250,1075425,4107400,14145000,4104000,185872500,2381400,2632275,5787750,478750,949800
US,US-WA,WA-1,852200,755800,61945000,1478275,5649300,19543000,5639500,255247500,3283200,3613725,7941000,663250,1310800
US,US-WA,WA-10,720900,639100,52391500,1250050,4775800,16516000,4769000,215632500,2775400,3054150,6711750,560500,1109000
US,US-WA,WA-2,627100,557250,45539500,1089900,4165500,14390000,4158000,188475000,2419700,2667300,5861250,487900,966400
US,US-WA,WA-3,746800,660150,54337750,1291150,4933300,17080000,4925000,222675000,2868400,3152250,6920250,579550,1146000
US,US-WA,WA-4,454000,404250,32902250,790650,3020200,10412000,3017000,136477500,1752100,1933275,4251750,352700,699400
US,US-WA,WA-5,669600,591750,48392750,1157425,4415600,15261000,4415500,198127500,2562800,2814750,6208500,519250,1026800
